order,section_id,section_label,marker_start,marker_end,duration_sec,energy,density,primary_recipe_id,primary_recipe_label,primary_recipe_category,motion_preset_ids,source_type,duration_frames_range,duration_sec_range,intensity,transition_grammar,beat_behavior,alternate_recipe_ids,avoid_recipe_ids,photo_hold_seconds,graphic_density_policy,typography_level,three_hit_policy,notes
1,opening-pickup,OPENING PICKUP,00:00,00:07,7,quiet,low,cam-locked-frame,Locked Frame Observation,CINEMATIC_CAMERA,photo-static-hero / type-quiet-caption,both,30-150f @30fps,1.00s-5.00s,S/M/L,hard cutのみ。dissolveは使わない。,none,photo-negative-space / wedding-welcome-greeting / editorial-silence-beat,rhythm-three-hit (3-hitはボーカルが入ってからのサビ専用アクセント。歌が始まる前の静かな期待を壊す。) | anime-speed-lines (曲より先に映像を騒がせない、というOPENING PICKUPのmusicalReadに反する高速グラフィック。) | cut-source-whip (avoid欄の『冒頭からflash・glitch・whip・高速montageを重ねる』に直接抵触。),写真1枚をhold中心。95BPM half-timeのHero枠(4〜8beat=約2.53〜5.05秒)を上限にし、動かさないことを優先する。,190BPM micro accent不使用。文字も『quiet caption』1行のみに絞る。,minimal,(n/a),musicalRead『歌が始まる前の期待。曲より先に映像を騒がせない』を最優先。cam-locked-frameで被写体への信頼を示し、start-curtain-openで開幕の儀式感だけ足す。
2,intro,INTRO,00:07,00:17,10,build,medium,start-intro-ticket-lift,StaRt Intro Ticket Lift,START_SPECIFIC,wipe-paper-edge / wipe-route-line,both,60-100f @30fps,2.00s-3.33s,S/M/L,paper edge wipe→hard cut。,95bpm,travel-window-seat / typo-mask-reveal / editorial-cm-beat,cam-locked-frame (INTROのmusicalReadは『前へ進む推進感』。opening-pickupと同じ静止カメラを続けると区間の切り替わりが伝わらない。) | rhythm-three-hit (3-hitはサビ専用。0:07〜0:17でまだ使うと後半のピークが薄まる。) | photo-contact-sheet (複数写真の総集編はpost-chorus-interlude-a向け。INTROで先に使うとrecap感が重複する。),半分速cut基準。2 half-time beat(約1.26秒)を目安にticket edge revealとsmall pushへ配分する。,190BPM accentはticket edgeの一瞬のみ。旅行UIを常設しない(avoid欄準拠)。,kicker,(n/a),weddingDirection『空港・搭乗券・旅の始まり』をstart-intro-ticket-lift + travel-ticket-edgeで受ける。avoid欄の『全拍で写真を替える』を避けるためhalf-time-cutに留める。
3,verse-1-a,1A,00:17,00:28,11,build,medium,start-1a-photo-read,StaRt 1A Photo Read,START_SPECIFIC,photo-small-push / photo-static-hero,photo-safe,110-220f @30fps,3.67s-7.33s,S/M/L,hard cut。,95bpm,cam-native-aspect / photo-asymmetric / editorial-crop-hierarchy,rhythm-three-hit (1Aはまだフレーズ単位の導入部。3-hitを使うとchorus-1-bの初出が弱まる。) | anime-impact-frame (avoid欄の『歌詞全文をカラオケのように追従表示する』と同種の勢い過多。フレーズ単位の静かな読みを優先する区間には強すぎる。) | typo-word-punch (word punchはchorus区間のhit語向け。1Aで先に使うとサビの効果が減る。),2〜4 half-time beat(約1.26〜2.53秒)。沖縄など最初の旅の写真をフレーズ単位で読ませる。,低。location captionのみ、190BPM accentは使わない。,short-caption,(n/a),musicalRead『言葉遊びと勢いが始まる。歌詞の一語一語ではなくフレーズ単位で進める』をcam-restrained-push主体の静かな寄りで支える。
4,verse-1-b,1B,00:28,00:38,10,build,high,start-1b-anticipation-build,StaRt 1B Anticipation Build,START_SPECIFIC,type-char-stagger / cut-match-shape,both,90-200f @30fps,3.00s-6.67s,S/M/L,match cutでサビへ接続。,95bpm,anime-scribble-underline / cam-directional-pan / travel-coastal-light,cam-locked-frame (musicalRead『遊び心が強まり、サビへ期待を積む区間』に対し静止カメラは推進感を止めてしまう。) | rhythm-density-contrast (density-contrastは間奏(release)専用の緩急設計。サビ直前で使うと逆に勢いを削ぐ。) | wedding-quiet-tears (感情のトーンが早すぎる。静かな涙の演出はpost-chorus-interlude-a向け。),2〜3 half-time beat。最後の1枚だけ35〜38秒付近の『溜め』としてやや長めに保持する。,playful graphic accentは1つまで。avoid欄の『zoom・blur・speed linesを全部足す』を避ける。,word-accent,(n/a),weddingDirection『Seoul/Hawaiiへ展開。写真の長短と文字の遊びを少し増やし、溜める』をtypo-vertical-wipe + anime-scribble-underlineの控えめな1発だけで表現する。
5,chorus-1-a,1 CHORUS A,00:38,00:48,10,hit,high,start-chorus-hero-lift,StaRt Chorus Hero Lift,START_SPECIFIC,photo-static-hero / type-word-punch,photo-safe,150-300f @30fps,5.00s-10.00s,S/M/L,hard cut。,95bpm,cam-25d-parallax / typo-frame-lock / wedding-couple-hero-duo,cut-source-whip (avoid欄『サビ頭をtransitionの派手さで潰す』に直接抵触。) | anime-halftone-flash (halftone flashはchorus-1-bの3-hit専用アクセント。サビ頭で先出しすると本来の3-hitの初出インパクトが減る。) | photo-contact-sheet (サビ頭は最強Hero写真1枚を大きく見せる区間。複数写真並べは主役をぼやけさせる。),Hero写真を4〜8 half-time beat(約2.53〜5.05秒)保持。最初の0.5〜1秒は完全staticも比較する。,最小。clean full bleedを優先し、graphicで飾らない。,word-accent,(n/a),musicalRead『サビ頭。シンプルな上昇メロディの強さを映像でも素直に受ける』をphoto-full-bleed + cam-locked-frameのstatic-firstで受ける。
6,chorus-1-b,1 CHORUS B / THREE-HIT,00:48,00:58,10,peak,peak,start-triple-hit,StaRt Triple Hit (Stamp / Line / Dot),START_SPECIFIC,accent-stamp-triplet / wipe-route-line / accent-speed-lines,photo-safe,150-300f @30fps,5.00s-10.00s,S/M/L,各hitはsingle-hit。写真自体はhold。,190bpm,travel-route-dot / anime-micro-rgb / anime-halftone-flash,cam-slow-pull (slow pullはinterlude-1のrelease向けカメラ。3-hit区間の擬音的な弾みと噛み合わない。) | photo-contact-sheet (weddingDirection『写真を3回切らず、同一Hero上でstamp→line→route dotの3-hit』と矛盾。複数写真を並べると同一Hero維持の原則が崩れる。) | editorial-establishing-wide (establishing wideはdensity低のセットアップ文法。density=peakのこの区間には合わない。),Hero写真は同一のまま保持。3-hit中は写真自体を切らない(0カット)。,190BPM micro accentをstamp/line/route-dotへ3回だけ使う。全画面には使わない。,none,同一Hero写真を維持したまま stamp → line → route-dot の3-hitで表現する。3-hitごとにfull-screen flash/shake/cutを行わない(既存avoid方針を踏襲)。,musicalRead『擬音とリズムの遊びが最も映像化しやすい区間』をstart-triple-hit + rhythm-three-hitのgraphic hit3連で処理し、写真そのものは動かさない。
7,interlude-1,INTERLUDE 1,00:58,01:08,10,release,medium,start-interlude-breath,StaRt Interlude Breath,START_SPECIFIC,wipe-route-line / color-field-release / photo-contact-sheet-snap,both,200-300f @30fps,6.67s-10.00s,S/M/L,color field releaseで密度を落としてから次章へ。,none,cam-slow-pull / cam-exposure-true / cut-color-field,rhythm-three-hit (この区間はenergy=release。3-hitはpeak専用アクセントで、呼吸を作る目的と逆行する。) | start-chorus-hero-lift (Hero写真の連続提示はサビの文法。interludeはroute/map文法へ切り替える区間(weddingDirection準拠)。) | anime-impact-frame (impact frameはhit/peak向けの強いグラフィック。release区間の呼吸感を壊す。),写真主体ではなくroute/map文法。写真を使う場合でも1回だけ、4〜6秒程度に留める。,190BPM accent不使用。cut-route-wipe / cut-color-fieldのgraphic-transitionのみ。,short-caption,(n/a),musicalRead『1番のピークから一度呼吸し、2番へ再スタートする』とweddingDirection『Route/map/plane-windowなど、実写真とは違う文法を一度だけ挟む』をそのまま反映。
8,verse-2-a,2A,01:08,01:18,10,build,medium,start-verse2-panel-update,StaRt Verse 2 Panel Update,START_SPECIFIC,photo-split-panel / cut-hard-accent,both,110-220f @30fps,3.67s-7.33s,S/M/L,hard cut中心。,95bpm,cam-handheld-restraint / photo-video-insert / editorial-lower-third,start-1a-photo-read (avoid欄『1番と全く同じ写真枚数・同じtransitionで繰り返す』に抵触。1Aの文法をそのまま2Aへ流用しない。) | cam-restrained-push (1Aのcam-restrained-pushをそのまま繰り返すと『画面文法を更新』というweddingDirectionに反する。) | photo-sequence-trio (1A専用の連写文法。2Aはsplit panelや動画insertで差別化する方針のため使わない。),2〜4 half-time beat。split panelは2枚同時evaluate、video insertは1カット分を確保する。,low〜medium。lower-third typeのみ限定使用。,short-caption,(n/a),musicalRead『1番のコピーではなく、少し違う表情で戻る』を守るため、1Aで使った主要レシピを意図的にavoidへ回し、split panel/video insert/foreground passで画面文法を更新する。
9,verse-2-b,2B,01:18,01:28,10,build,high,start-verse2-playful-crop,StaRt Verse 2 Playful Crop,START_SPECIFIC,type-frame-lock / photo-static-hero,photo-safe,90-200f @30fps,3.00s-6.67s,S/M/L,hard cut。,none,anime-panel-grid / photo-split-panel-duo / typo-vertical-wipe,wedding-quiet-tears (musicalRead『ユーモアが強く、次のサビへ再び跳ねる』とトーンが逆。静かな涙の演出はここでは早すぎる。) | cam-locked-frame (weddingDirection『少し大胆なcrop・panel・一瞬のgraphic jokeを許可』に対し、静止カメラはユーモアの跳ねを止める。) | rhythm-three-hit (3-hitはサビ専用。2番サビ前でまだ使うとchorus-2-bの再登場インパクトが薄まる。),2〜3 half-time beat。大胆cropは短く、長く引っ張らない。,一瞬のgraphic jokeのみ許可。avoid欄『ネタ演出を長く引っ張り、2人より演出が主役になる』を避ける。,word-accent,(n/a),weddingDirection『少し大胆なcrop・panel・一瞬のgraphic jokeを許可。ただしWeddingの品は維持』を、anime-oversized-word 1発 + editorial-cropで表現する。
10,chorus-2-a,2 CHORUS A,01:28,01:38,10,peak,high,start-second-chorus-hero-b,StaRt Second Chorus Hero B,START_SPECIFIC,photo-static-hero / type-frame-lock,photo-safe,150-300f @30fps,5.00s-10.00s,S/M/L,hard cut。,95bpm,cam-25d-parallax / typo-frame-lock / wedding-couple-hero-duo,cut-source-whip (avoid欄『1サビより激しいzoomを入れるだけで差を作る』の具体例。effectで差別化しない方針に反する。) | anime-speed-lines (speed linesはchorus-2-bの3-hit専用に予約。ここで先出しすると2回目3-hitの新鮮さが減る。) | photo-contact-sheet (chorus-1-aと同じ理由。最強Hero写真1枚に絞る方針と矛盾する複数写真並べ。),最強Hero写真B。static firstを基本に4〜8 half-time beat保持。,1サビより増やさない。写真選び・サイズ・余白・graphic密度で格上げする(weddingDirection準拠)。,word-accent,(n/a),musicalRead『1サビより細部の音が増え、同じメロディでも高揚が一段上がる』を、chorus-1-aと同じ骨格(locked frame + full bleed)のまま写真選定だけ格上げして受ける。
