id,movie,category,item,priority,status,owner,where_to_store,notes
mat-001,all,venue,会場の推奨画角,minimum,todo,,docs/templates/venue-specs.csv,
mat-002,all,venue,会場の推奨解像度,minimum,todo,,docs/templates/venue-specs.csv,
mat-003,all,venue,会場の推奨ファイル形式,minimum,todo,,docs/templates/venue-specs.csv,
mat-004,all,venue,音量ルール,minimum,todo,,docs/templates/venue-specs.csv,
mat-005,all,venue,提出締切,minimum,todo,,docs/templates/venue-specs.csv,
mat-006,opening,info,新郎新婦名,minimum,todo,,08_texts/,
mat-007,opening,info,結婚式の日付,minimum,todo,,08_texts/,
mat-008,opening,info,会場名,minimum,todo,,08_texts/,
mat-009,opening,music,オープニング用BGM候補,minimum,todo,,docs/templates/music-candidates.csv,
mat-010,opening,photo,二人の写真,minimum,todo,,05_photos/,
mat-011,opening,reference,テーマを表す参考映像,minimum,todo,,docs/templates/reference-log.csv,
mat-012,opening,ai_asset,空港・滑走路・雲などのAI背景候補,nice,todo,,docs/templates/ai-shot-list.csv,
mat-013,profile,photo,新郎幼少期写真,minimum,todo,,05_photos/,
mat-014,profile,photo,新郎家族写真,minimum,todo,,05_photos/,
mat-015,profile,photo,新郎学生時代写真,minimum,todo,,05_photos/,
mat-016,profile,photo,新郎友人写真,minimum,todo,,05_photos/,
mat-017,profile,photo,新婦幼少期写真,minimum,todo,,05_photos/,
mat-018,profile,photo,新婦家族写真,minimum,todo,,05_photos/,
mat-019,profile,photo,新婦学生時代写真,minimum,todo,,05_photos/,
mat-020,profile,photo,新婦友人写真,minimum,todo,,05_photos/,
mat-021,profile,photo,出会いの頃の写真,minimum,todo,,05_photos/,
mat-022,profile,photo,交際中の写真,minimum,todo,,05_photos/,
mat-023,profile,photo,現在の二人の写真,minimum,todo,,05_photos/,
mat-024,profile,music,プロフィール用BGM候補,minimum,todo,,docs/templates/music-candidates.csv,
mat-025,profile,text,写真ごとの短いコメント候補,minimum,todo,,08_texts/,
mat-026,profile,photo,旅行写真,nice,todo,,05_photos/,
mat-027,profile,photo,犬の写真,nice,todo,,05_photos/,
mat-028,profile,info,出会いの日や場所,nice,todo,,08_texts/,
mat-029,profile,info,入籍日,nice,todo,,08_texts/,
mat-030,introduction,info,紹介したい対象,minimum,todo,,08_texts/,
mat-031,introduction,photo,対象ごとの写真,minimum,todo,,05_photos/,
mat-032,introduction,text,ひとことコメント,minimum,todo,,08_texts/,
mat-033,all,rights,音源の利用条件,minimum,todo,,docs/08_rights-privacy.md,
mat-034,all,rights,フォントの利用条件,minimum,todo,,docs/08_rights-privacy.md,
mat-035,all,rights,SNS投稿可否,minimum,todo,,docs/08_rights-privacy.md,

